Date,Flow,Temp,,,,
19-Feb-13,206.4,,,,,
20-Feb-13,174.3,,,,,
21-Feb-13,142.8,,,,,
22-Feb-13,145.2,,,,,
23-Feb-13,131.3,,,,,
24-Feb-13,126.5,,,,,
25-Feb-13,111.8,,,,,
26-Feb-13,116.3,,,,,
27-Feb-13,112.2,,,,,
28-Feb-13,101.4,,,,,
01-Mar-13,96.5,,,,,
02-Mar-13,98.3,,,,,
03-Mar-13,93.9,,,,,
04-Mar-13,91.9,,,,,
05-Mar-13,90.0,,,,,
06-Mar-13,85.7,,,,,
07-Mar-13,93.0,,,,,
08-Mar-13,97.7,,,,,
09-Mar-13,139.8,,,,,
10-Mar-13,170.1,,,,,
11-Mar-13,140.4,,,,,
12-Mar-13,110.9,,,,,
13-Mar-13,84.1,,,,,
14-Mar-13,90.9,,,,,
15-Mar-13,91.6,,,,,
16-Mar-13,91.2,,,,,
17-Mar-13,180.4,,,,,
18-Mar-13,269.8,,,,,
19-Mar-13,292.7,,,,,
20-Mar-13,291.1,,,,,
21-Mar-13,246.4,,,,,
22-Mar-13,204.9,,,,,
23-Mar-13,210.2,,,,,
24-Mar-13,271.5,,,,,
25-Mar-13,253.3,,,,,
26-Mar-13,231.5,,,,,
27-Mar-13,198.0,,,,,
28-Mar-13,167.2,,,,,
29-Mar-13,143.1,,,,,
30-Mar-13,128.7,,,,,
31-Mar-13,121.1,,,,,
01-Apr-13,102.5,,,,,
02-Apr-13,103.1,,,,,
03-Apr-13,98.7,,,,,
04-Apr-13,93.2,,,,,
05-Apr-13,86.8,,,,,
06-Apr-13,88.2,,,,,
07-Apr-13,84.4,,,,,
08-Apr-13,80.0,,,,,
09-Apr-13,77.1,,,,,
10-Apr-13,79.5,,,,,
11-Apr-13,89.5,,,,,
12-Apr-13,109.2,,,,,
13-Apr-13,140.5,,,,,
14-Apr-13,145.3,,,,,
15-Apr-13,143.1,,,,,
16-Apr-13,110.0,,,,,
17-Apr-13,86.0,,,,,
18-Apr-13,80.0,,,,,
19-Apr-13,86.2,,,,,
20-Apr-13,79.2,,,,,
21-Apr-13,72.9,,,,,
22-Apr-13,61.8,,,,,
